reclat,reclon,
42.95448,-78.82828,
42.95447,-78.82829,
42.95446,-78.8283,
42.95444,-78.8283,
42.95443,-78.8283,
42.95443,-78.8283,
42.95442,-78.82831,
42.95441,-78.82832,
42.95441,-78.82833,
42.9544,-78.82833,
42.95439,-78.82834,
42.95437,-78.82834,
42.95436,-78.82835,
42.95435,-78.82835,
42.95434,-78.82836,
42.95433,-78.82836,
42.95432,-78.82837,
42.9543,-78.82838,
42.95429,-78.8284,
42.95428,-78.82841,
42.95428,-78.82842,
42.95428,-78.82843,
42.95429,-78.82843,
42.9543,-78.82844,
42.9543,-78.82846,
42.95431,-78.82847,
42.95432,-78.82848,
42.95433,-78.8285,
42.95434,-78.82851,
42.95434,-78.82853,
42.95435,-78.82854,
42.95436,-78.82855,
42.95437,-78.82856,
42.95438,-78.82856,
42.95439,-78.82856,
42.95439,-78.82856,
42.95439,-78.82856,
42.95439,-78.82858,
42.95439,-78.82859,
42.9544,-78.8286,
42.95441,-78.82861,
42.95441,-78.82863,
42.95442,-78.82864,
42.95442,-78.82865,
42.95443,-78.82866,
42.95443,-78.82868,
42.95444,-78.82869,
42.95445,-78.82871,
42.95446,-78.82873,
42.95446,-78.82874,
42.95445,-78.82876,
42.95445,-78.82877,
42.95445,-78.82878,
42.95445,-78.8288,
42.95445,-78.82881,
42.95446,-78.82882,
42.95447,-78.82883,
42.95447,-78.82885,
42.95448,-78.82885,
42.95448,-78.82886,
42.95449,-78.82887,
42.9545,-78.82888,
42.95451,-78.82889,
42.95451,-78.82891,
42.95452,-78.82891,
42.95452,-78.82892,
42.95453,-78.82893,
42.95453,-78.82894,
42.95454,-78.82895,
42.95455,-78.82896,
42.95455,-78.82898,
42.95456,-78.82899,
42.95456,-78.829,
42.95457,-78.82901,
42.95457,-78.82902,
42.95456,-78.82903,
42.95456,-78.82904,
42.95456,-78.82905,
42.95456,-78.82906,
42.95456,-78.82908,
42.95456,-78.82909,
42.95456,-78.82911,
42.95456,-78.82911,
42.95457,-78.82912,
42.95458,-78.82913,
42.95459,-78.82914,
42.9546,-78.82915,
42.95461,-78.82917,
42.95461,-78.82918,
42.95462,-78.82919,
42.95463,-78.8292,
42.95464,-78.82922,
42.95464,-78.82923,
42.95465,-78.82924,
42.95466,-78.82926,
42.95467,-78.82927,
42.95468,-78.82929,
42.95468,-78.82931,
42.95468,-78.82931,
42.95468,-78.82932,
42.95469,-78.82934,
42.9547,-78.82935,
42.9547,-78.82936,
42.95471,-78.82936,
42.95472,-78.82937,
42.95473,-78.82938,
42.95473,-78.82939,
42.95474,-78.8294,
42.95474,-78.82941,
42.95474,-78.82942,
42.95475,-78.82943,
42.95475,-78.82944,
42.95476,-78.82945,
42.95476,-78.82946,
42.95477,-78.82948,
42.95478,-78.82949,
42.95478,-78.8295,
42.95479,-78.82951,
42.95479,-78.82953,
42.9548,-78.82955,
42.95481,-78.82956,
42.95482,-78.82957,
42.95484,-78.82957,
42.95485,-78.82957,
42.95486,-78.82958,
42.95486,-78.82959,
42.95486,-78.82961,
42.95486,-78.82963,
42.95488,-78.82964,
42.95489,-78.82966,
42.9549,-78.82967,
42.9549,-78.82968,
42.9549,-78.82969,
42.9549,-78.8297,
42.9549,-78.82971,
42.95491,-78.82972,
42.95491,-78.82974,
42.95492,-78.82975,
42.95493,-78.82977,
42.95493,-78.82978,
42.95493,-78.82979,
42.95492,-78.8298,
42.9549,-78.82981,
42.9549,-78.82983,
42.95489,-78.82984,
42.95488,-78.82985,
42.95486,-78.82986,
42.95485,-78.82986,
42.95484,-78.82987,
42.95484,-78.82988,
42.95483,-78.82989,
42.95482,-78.8299,
42.95482,-78.8299,
42.95482,-78.82991,
42.95482,-78.82992,
42.95482,-78.82993,
42.95482,-78.82994,
42.95482,-78.82994,
42.95482,-78.82995,
42.95482,-78.82995,
42.95482,-78.82996,
42.95482,-78.82996,
42.95482,-78.82996,
42.95482,-78.82996,
42.95481,-78.82997,
42.95481,-78.82997,
42.95481,-78.82998,
42.9548,-78.82998,
42.95479,-78.82999,
42.95479,-78.83,
42.95479,-78.83001,
42.95478,-78.83001,
42.95478,-78.83002,
42.95477,-78.83003,
42.95477,-78.83003,
42.95475,-78.83004,
42.95474,-78.83005,
42.95473,-78.83005,
42.95472,-78.83006,
42.95471,-78.83006,
42.9547,-78.83007,
42.95468,-78.83007,
42.95467,-78.83007,
42.95466,-78.83007,
42.95466,-78.83007,
42.95466,-78.83007,
42.95465,-78.83008,
42.95465,-78.83009,
42.95464,-78.8301,
42.95464,-78.83011,
42.95463,-78.83012,
42.95462,-78.83014,
42.95461,-78.83015,
42.9546,-78.83016,
42.95459,-78.83016,
42.95457,-78.83016,
42.95457,-78.83017,
42.95456,-78.83018,
42.95455,-78.83019,
42.95454,-78.8302,
42.95453,-78.8302,
42.95453,-78.83021,
42.95452,-78.83022,
42.95451,-78.83023,
42.9545,-78.83023,
42.95449,-78.83024,
42.95447,-78.83024,
42.95446,-78.83025,
42.95446,-78.83026,
42.95445,-78.83026,
42.95444,-78.83027,
42.95444,-78.83027,
42.95444,-78.83027,
42.95443,-78.83028,
42.95441,-78.83028,
42.95441,-78.83029,
42.9544,-78.83029,
42.9544,-78.8303,
42.95439,-78.83032,
42.95439,-78.83032,
42.95438,-78.83033,
42.95437,-78.83033,
42.95436,-78.83034,
42.95436,-78.83035,
42.95435,-78.83037,
42.95434,-78.83038,
42.95434,-78.83038,
42.95433,-78.83039,
42.95432,-78.83038,
42.9543,-78.83039,
42.95429,-78.83039,
42.95429,-78.8304,
42.95429,-78.83041,
42.95429,-78.83041,
42.95428,-78.83041,
42.95429,-78.83041,
42.95428,-78.83041,
42.95428,-78.83042,
42.95427,-78.83042,
42.95426,-78.83043,
42.95425,-78.83044,
42.95424,-78.83044,
42.95424,-78.83044,
42.95423,-78.83043,
42.95423,-78.83042,
42.95422,-78.83041,
42.95421,-78.8304,
42.9542,-78.83039,
42.95419,-78.83038,
42.95418,-78.83037,
42.95417,-78.83036,
42.95417,-78.83035,
42.95417,-78.83034,
42.95416,-78.83033,
42.95416,-78.83032,
42.95416,-78.83031,
42.95416,-78.8303,
42.95415,-78.83029,
42.95415,-78.83028,
42.95415,-78.83027,
42.95415,-78.83024,
42.95415,-78.83023,
42.95415,-78.83022,
42.95414,-78.8302,
42.95414,-78.83019,
42.95414,-78.83018,
42.95414,-78.83017,
42.95414,-78.83015,
42.95413,-78.83014,
42.95412,-78.83013,
42.95412,-78.83012,
42.95411,-78.83011,
42.9541,-78.8301,
42.95409,-78.8301,
42.95408,-78.83009,
42.95408,-78.83008,
42.95408,-78.83007,
42.95408,-78.83005,
42.95408,-78.83004,
42.95408,-78.83003,
42.95408,-78.83002,
42.95408,-78.83001,
42.95407,-78.83,
42.95408,-78.82999,
42.95408,-78.82998,
42.95408,-78.82997,
42.95408,-78.82996,
42.95407,-78.82995,
42.95407,-78.82994,
42.95406,-78.82993,
42.95406,-78.82991,
42.95405,-78.8299,
42.95405,-78.82989,
42.95404,-78.82988,
42.95403,-78.82987,
42.95403,-78.82986,
42.95402,-78.82986,
42.95402,-78.82985,
42.95402,-78.82983,
42.95401,-78.82982,
42.954,-78.82982,
42.954,-78.82981,
42.95399,-78.8298,
42.95398,-78.82979,
42.95397,-78.82979,
42.95396,-78.82979,
42.95396,-78.82979,
42.95396,-78.82979,
42.95396,-78.82979,
42.95396,-78.82979,
42.95395,-78.82979,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95395,-78.8298,
42.95396,-78.82975,
42.95395,-78.82974,
42.95395,-78.82973,
42.95394,-78.82972,
42.95394,-78.8297,
42.95394,-78.82968,
42.95394,-78.82967,
42.95393,-78.82966,
42.95393,-78.82965,
42.95392,-78.82963,
42.95392,-78.82962,
42.95391,-78.82961,
42.95391,-78.8296,
42.95391,-78.82959,
42.9539,-78.82958,
42.9539,-78.82956,
42.9539,-78.82955,
42.95389,-78.82954,
42.95388,-78.82954,
42.95388,-78.82953,
42.95387,-78.82952,
42.95387,-78.82952,
42.95386,-78.82951,
42.95386,-78.82951,
42.95385,-78.8295,
42.95384,-78.82949,
42.95383,-78.82949,
42.95383,-78.82948,
42.95382,-78.82946,
42.95381,-78.82945,
42.9538,-78.82944,
42.9538,-78.82943,
42.95379,-78.82942,
42.95378,-78.82941,
42.95378,-78.8294,
42.95378,-78.82939,
42.95377,-78.82938,
42.95376,-78.82937,
42.95376,-78.82936,
42.95375,-78.82936,
42.95375,-78.82935,
42.95375,-78.82934,
42.95374,-78.82934,
42.95374,-78.82933,
42.95374,-78.82931,
42.95374,-78.8293,
42.95373,-78.82929,
42.95373,-78.82928,
42.95373,-78.82927,
42.95372,-78.82926,
42.95372,-78.82925,
42.95371,-78.82924,
42.9537,-78.82923,
42.95369,-78.82922,
42.95369,-78.82921,
42.95368,-78.82921,
42.95368,-78.82921,
42.95368,-78.82921,
42.95367,-78.82921,
42.95368,-78.8292,
42.95367,-78.82919,
42.95367,-78.82917,
42.95367,-78.82916,
42.95368,-78.82916,
42.95368,-78.82915,
42.95368,-78.82914,
42.95368,-78.82914,
42.95368,-78.82913,
42.95367,-78.82913,
42.95367,-78.82913,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95367,-78.82912,
42.95366,-78.82912,
42.95365,-78.82911,
42.95365,-78.82911,
42.95365,-78.8291,
42.95365,-78.82909,
42.95364,-78.82908,
42.95364,-78.82908,
42.95363,-78.82906,
42.95363,-78.82906,
